label,player_level,delta,stage_a,stage_b,freeze,multiplier,p_a,p_b,value_a,value_b,kill_a,kill_b,ratio,gold_ratio,exp_ratio
grid,150,1,147,148,on,10,0.001,0.0001,0.3648414985590778,0.3648414985590778,49.5927699491704,2.85632434603905,3.2048335569731465,3.1202868486701227,1.1666588447884676,1.1666588447804438
grid,150,1,147,148,off,2,0.001,0.0005,0.42190201729106735,0.42449567723343046,49.5927699491704,2.85632434603905,0.63705041784232,3.1394689399529305,1.1666588447884676,1.1666588447804438
grid,150,1,147,148,off,5,0.001,0.0002,0.42190201729106735,0.42449567723343046,49.5927699491704,2.85632434603905,1.5926260446058,3.1394689399529305,1.1666588447884676,1.1666588447804438
grid,150,1,147,148,off,10,0.001,0.0001,0.42190201729106735,0.42449567723343046,49.5927699491704,2.85632434603905,3.1852520892116,3.1394689399529305,1.1666588447884676,1.1666588447804438
grid,150,5,143,148,on,2,0.001,0.0005,0.3648414985590778,0.3648414985590778,27.79133495350314,2.85632434603905,1.1263208679637526,1.775692928086958,1.1519737861594102,1.1519737861594102
grid,150,5,143,148,on,5,0.001,0.0002,0.3648414985590778,0.3648414985590778,27.79133495350314,2.85632434603905,2.815802169909382,1.775692928086958,1.1519737861594102,1.1519737861594102
grid,150,5,143,148,on,10,0.001,0.0001,0.3648414985590778,0.3648414985590778,27.79133495350314,2.85632434603905,5.631604339818764,1.775692928086958,1.1519737861594102,1.1519737861594102
grid,150,5,143,148,off,2,0.001,0.0005,0.4115273775216147,0.42449567723343046,27.79133495350314,2.85632434603905,1.091911880144086,1.831649638005665,1.1519737861594102,1.1519737861594102
grid,150,5,143,148,off,5,0.001,0.0002,0.4115273775216147,0.42449567723343046,27.79133495350314,2.85632434603905,2.729779700360215,1.831649638005665,1.1519737861594102,1.1519737861594102
grid,150,5,143,148,off,10,0.001,0.0001,0.4115273775216147,0.42449567723343046,27.79133495350314,2.85632434603905,5.45955940072043,1.831649638005665,1.1519737861594102,1.1519737861594102
grid,150,10,138,148,on,2,0.001,0.0005,0.3648414985590778,0.3648414985590778,13.762590219884938,2.85632434603905,2.1966525448213337,0.9104762629461144,1.093029573873077,1.0930295738180804
grid,150,10,138,148,on,5,0.001,0.0002,0.3648414985590778,0.3648414985590778,13.762590219884938,2.85632434603905,5.491631362053335,0.9104762629461144,1.093029573873077,1.0930295738180804
grid,150,10,138,148,on,10,0.001,0.0001,0.3648414985590778,0.3648414985590778,13.762590219884938,2.85632434603905,10.98326272410667,0.9104762629461144,1.093029573873077,1.0930295738180804
grid,150,10,138,148,off,2,0.001,0.0005,0.3985590778097989,0.42449567723343046,13.762590219884938,2.85632434603905,2.062437521716159,0.9697263451334981,1.093029573873077,1.0930295738180804
grid,150,10,138,148,off,5,0.001,0.0002,0.3985590778097989,0.42449567723343046,13.762590219884938,2.85632434603905,5.156093804290396,0.9697263451334981,1.093029573873077,1.0930295738180804
grid,150,10,138,148,off,10,0.001,0.0001,0.3985590778097989,0.42449567723343046,13.762590219884938,2.85632434603905,10.312187608580793,0.9697263451334981,1.093029573873077,1.0930295738180804
grid,150,30,118,148,on,2,0.001,0.0005,0.34668587896253605,0.3648414985590778,1.0635135174616455,2.85632434603905,14.93305058195255,0.13393110731286983,0.43807399630763816,0.43807399630763816
grid,150,30,118,148,on,5,0.001,0.0002,0.34668587896253605,0.3648414985590778,1.0635135174616455,2.85632434603905,37.33262645488137,0.13393110731286983,0.43807399630763816,0.43807399630763816
grid,150,30,118,148,on,10,0.001,0.0001,0.34668587896253605,0.3648414985590778,1.0635135174616455,2.85632434603905,74.66525290976274,0.13393110731286983,0.43807399630763816,0.43807399630763816
grid,150,30,118,148,off,2,0.001,0.0005,0.34668587896253605,0.42449567723343046,1.0635135174616455,2.85632434603905,12.83451597878607,0.15582979547540105,0.43807399630763816,0.43807399630763816
grid,150,30,118,148,off,5,0.001,0.0002,0.34668587896253605,0.42449567723343046,1.0635135174616455,2.85632434603905,32.08628994696518,0.15582979547540105,0.43807399630763816,0.43807399630763816
